Date,MSCI ACWI
12/1987,10000
01/1988,10362.212139605464
02/1988,11282.110059171597
03/1988,11476.420852926867
04/1988,11556.986830015314
05/1988,11443.912967032968
06/1988,11860.614285714286
07/1988,12692.719556541022
08/1988,12268.07996735286
09/1988,12705.951237958045
10/1988,13206.140200210748
11/1988,13111.622940035424
12/1988,13247.062765957447
01/1989,14271.517099719102
02/1989,14363.729488091007
03/1989,14380.523217321284
04/1989,14824.704615384617
05/1989,15097.170723468142
06/1989,15156.392567825755
07/1989,16134.110132480584
08/1989,15999.009408053438
09/1989,16736.539218087608
10/1989,15588.74137805984
11/1989,15970.501447721183
12/1989,15816.957840616966
01/1990,14648.831209449343
02/1990,13848.459492735783
03/1990,13221.54347281383
04/1990,12888.758410290236
05/1990,14003.356298158813
06/1990,14003.615335619794
07/1990,13718.972344975053
08/1990,11882.573531193217
09/1990,10658.782997118155
10/1990,11298.613515901061
11/1990,10889.580588829558
12/1990,11256.10995911215
01/1991,11701.476679841897
02/1991,12589.058648240123
03/1991,13320.208712002508
04/1991,14148.504439676513
05/1991,14680.777571500252
06/1991,14299.854233171407
07/1991,15000.589941804918
08/1991,14640.996177370032
09/1991,14599.65963984801
10/1991,14834.15830721003
11/1991,13664.873024696259
12/1991,14213.518422266647
01/1992,14099.681533101044
02/1992,14193.2896011396
03/1992,13924.026879011944
04/1992,13983.490232707947
05/1992,14241.92158597267
06/1992,13341.067346938777
07/1992,12747.021001096091
08/1992,12704.204986110122
09/1992,12886.939833843464
10/1992,13094.690390162441
11/1992,14184.781931413783
12/1992,14309.69796314258
01/1993,14640.787490729293
02/1993,15358.471875000003
03/1993,16320.996452215244
04/1993,16481.739034188737
05/1993,16910.515640667385
06/1993,17291.088377601085
07/1993,18398.230914381445
08/1993,19417.903100844072
09/1993,18333.239570002563
10/1993,19097.764143288732
11/1993,18591.24064882113
12/1993,19588.08257287144
01/1994,21170.337446120688
02/1994,20784.073316039005
03/1994,19439.825282523
04/1994,20026.383605693198
05/1994,19711.498710453918
06/1994,19297.24298037889
07/1994,19116.460032786887
08/1994,19820.13485967504
09/1994,19147.316171456405
10/1994,19262.73741041567
11/1994,18700.18632616777
12/1994,19149.219099455717
01/1995,18376.155359883673
02/1995,18369.127133269416
03/1995,18464.034249731223
04/1995,18769.496339258814
05/1995,19269.910738871044
06/1995,19113.356386529125
07/1995,19805.27922632881
08/1995,19958.17380088052
09/1995,20770.35855432997
10/1995,20105.485991528687
11/1995,20782.756934475572
12/1995,21747.61778126225
01/1996,22500.964846849707
02/1996,22724.483415802075
03/1996,23059.588674429735
04/1996,23824.066071428573
05/1996,24137.996922575916
06/1996,24082.159722110024
07/1996,22830.45350835322
08/1996,22902.493054789124
09/1996,23954.05419847328
10/1996,24124.65872218234
11/1996,25088.199023622048
12/1996,25272.049400402415
01/1997,26394.93005952381
02/1997,27920.45983953067
03/1997,27679.5482283121
04/1997,28724.0025974026
05/1997,30344.692730294813
06/1997,32255.83407643312
07/1997,34652.37725040916
08/1997,33140.15501730104
09/1997,33992.02500682997
10/1997,31387.780847639486
11/1997,31212.128785357738
12/1997,32475.109973918516
01/1998,33953.44471432514
02/1998,36196.27155053704
03/1998,37879.80088454805
04/1998,37975.89658643726
05/1998,36687.93287671234
06/1998,37620.14901960785
07/1998,37721.470373066426
08/1998,32304.337544177615
09/1998,31409.90638444924
10/1998,33012.210866128626
11/1998,36029.613628970124
12/1998,37462.341374617215
01/1999,39477.1675509487
02/1999,39763.39762207298
03/1999,42619.548426736175
04/1999,45069.23248089081
05/1999,44062.93198163733
06/1999,46829.9692680093
07/1999,45042.394595100064
08/1999,45503.176014376244
09/1999,44624.304303797464
10/1999,47835.21903759687
11/1999,51060.52548281668
12/1999,55595.095819231545
01/2000,53965.93034419364
02/2000,54578.418900555895
03/2000,59146.62131267664
04/2000,59403.7398789213
05/2000,56506.237729764594
06/2000,56874.80399748849
07/2000,57073.7429406037
08/2000,61074.80238041771
09/2000,58648.87180832858
10/2000,59878.812189616256
11/2000,54442.217549516354
12/2000,51657.55815153143
01/2001,53032.01121274078
02/2001,48806.29191176471
03/2001,47664.976019021735
04/2001,50883.307908968
05/2001,52665.70924528302
06/2001,51052.1750235849
07/2001,48669.26412335809
08/2001,44389.31452282158
09/2001,40453.858219253096
10/2001,41720.134439283334
11/2001,45002.61847606203
12/2001,45862.529853625325
01/2002,45514.842514762066
02/2002,45107.39244018032
03/2002,46749.88679504814
04/2002,43842.00812611012
05/2002,42131.33595397891
06/2002,37228.25828571428
07/2002,34775.540938362465
08/2002,34688.14908979966
09/2002,30798.886308316432
10/2002,33053.44361313868
11/2002,34640.24533091568
12/2002,31227.15676551922
01/2003,29393.641531065092
02/2003,28969.585475792992
03/2003,28560.757448370812
04/2003,30451.678770999904
05/2003,30340.27166300119
06/2003,31991.90769230769
07/2003,33016.788178123345
08/2003,35010.017626063884
09/2003,33041.361997940265
10/2003,35136.2448631905
11/2003,34568.0819909955
12/2003,34908.90940617578
01/2004,36212.470058139545
02/2004,36779.750781124174
03/2004,37164.49986910995
04/2004,37153.31756926425
05/2004,36695.77009345794
06/2004,37569.83531057178
07/2004,36728.55295290307
08/2004,36747.27451077533
09/2004,36620.42514304134
10/2004,36557.8103478056
11/2004,36947.30053403536
12/2004,37468.6974524631
01/2005,38330.9900575374
02/2005,39012.34786150713
03/2005,39031.011169392164
04/2005,38216.79884232461
05/2005,40936.83420647149
06/2005,42186.418392325504
07/2005,43753.98055073183
08/2005,43726.94579439252
09/2005,45638.46576980568
10/2005,44487.919238126924
11/2005,47126.33882232984
12/2005,48182.38169026024
01/2006,49225.50103977555
02/2006,50179.42368
03/2006,50286.79109385328
04/2006,50190.5664034458
05/2006,47013.03212620454
06/2006,47585.03206166915
07/2006,47718.87130884311
08/2006,48659.95214380204
09/2006,49983.200047393366
10/2006,51720.633601134214
11/2006,51176.70640909091
12/2006,52450.87804100229
01/2007,53867.51338582678
02/2007,52562.13558398305
03/2007,53207.514116233666
04/2007,54426.15148842336
05/2007,56728.635427042296
06/2007,56364.317260273965
07/2007,54698.477478660534
08/2007,54578.303947464425
09/2007,55602.366753649774
10/2007,56710.88883505226
11/2007,53073.16145247612
12/2007,52642.30760138578
01/2008,47858.41513113651
02/2008,47075.933579481774
03/2008,44513.23797116114
04/2008,47852.23285714285
05/2008,48754.86325767346
06/2008,44040.63996447602
07/2008,43331.37809237077
08/2008,44938.05959959281
09/2008,40527.74602530938
10/2008,36446.53545504429
11/2008,34155.55907912313
12/2008,32382.492519939646
01/2009,32170.840028089882
02/2009,29435.862100601076
03/2009,30286.20987376014
04/2009,33973.34481355933
05/2009,35215.51293800539
06/2009,34942.999476439785
07/2009,38020.4457631914
08/2009,39026.22338845292
09/2009,39794.72575291948
10/2009,38772.1125
11/2009,39784.58704652866
12/2009,42359.893044564764
01/2010,41814.64738651009
02/2010,43599.04461311717
03/2010,46738.782105497434
04/2010,47418.71481787458
05/2010,46483.888583732834
06/2010,45200.38498899845
07/2010,46051.701811482955
08/2010,45680.34123028392
09/2010,46515.50319460727
10/2010,47479.02801472181
11/2010,49511.42788121249
12/2010,51703.83488998653
01/2011,51260.99171779141
02/2011,52233.011797021834
03/2011,50831.991764623075
04/2011,50614.55236877524
05/2011,51210.83036496351
06/2011,50186.553725870064
07/2011,50054.023969144466
08/2011,45807.83028373703
09/2011,44410.170273272604
10/2011,47430.944546818086
11/2011,48034.93481889998
12/2011,49729.662555066076
01/2012,51688.363114754095
02/2012,53236.224235661684
03/2012,53965.10336927225
04/2012,53956.56406841229
05/2012,52382.132338950265
06/2012,54178.41760127085
07/2012,56306.48855421687
08/2012,56066.52160811989
09/2012,56428.521438515076
10/2012,55795.05342876935
11/2012,56565.99148313568
12/2012,56962.27735334244
01/2013,58036.847247232465
02/2013,59915.71172214183
03/2013,62584.28265521282
