Date,iShares Core MSCI EMU UCITS ETF EUR (Acc)
12/1987,10000.0
01/1988,9289.55473449556
02/1988,10718.40739982692
03/1988,10707.012543535133
04/1988,10797.365716160872
05/1988,10758.752462357405
06/1988,11266.781879151042
07/1988,11806.44838693034
08/1988,11736.209946778508
09/1988,12358.84674394806
10/1988,13273.838315703148
11/1988,12869.761780267972
12/1988,13126.242301367583
01/1989,13450.834219281203
02/1989,13463.314154461295
03/1989,13647.367620244348
04/1989,14262.37122970681
05/1989,14301.573034824887
06/1989,15244.433769986706
07/1989,15946.668898633316
08/1989,16145.50558712168
09/1989,17051.633428806854
10/1989,15611.513375467664
11/1989,16340.488769513231
12/1989,17613.403283801897
01/1990,16891.280389211228
02/1990,16228.200596495995
03/1990,17414.569183257594
04/1990,17082.20151390133
05/1990,17256.79528267402
06/1990,17743.229961443583
07/1990,17936.57863702351
08/1990,14936.022252977182
09/1990,12957.199010087576
10/1990,13811.87144547614
11/1990,13395.01414674384
12/1990,13237.084810948376
01/1991,13536.437215679209
02/1991,14586.880579948744
03/1991,14550.595389824732
04/1991,15259.950422688966
05/1991,16100.842699183895
06/1991,15223.354928968562
07/1991,15760.915750726874
08/1991,15684.941400812111
09/1991,15734.786681633814
10/1991,15410.096186125624
11/1991,14834.418733064233
12/1991,15411.727589767746
01/1992,15622.484427331852
02/1992,16320.99685854179
03/1992,16320.152706854164
04/1992,16454.990527599493
05/1992,16964.577834710126
06/1992,16368.505518939975
07/1992,14889.441941515232
08/1992,14515.253973942385
09/1992,14480.205853908676
10/1992,14242.96647560537
11/1992,15003.528882284556
12/1992,15031.958686855838
01/1993,15678.414958980798
02/1993,16813.354155009674
03/1993,17480.468023424128
04/1993,17041.533499400703
05/1993,17004.741250240037
06/1993,17186.03552327209
07/1993,18079.867120465016
08/1993,20159.86548482174
09/1993,19240.205008009536
10/1993,20164.83344025001
11/1993,19890.676673801707
12/1993,21323.23233009581
01/1994,22399.26897709928
02/1994,21857.837643896542
03/1994,21422.43933230456
04/1994,22678.74153439116
05/1994,21158.31694461433
06/1994,20338.3569985137
07/1994,21004.08123302922
08/1994,21420.802866295147
09/1994,20223.55447256753
10/1994,20571.656069196568
11/1994,20058.242405678742
12/1994,20561.26497660413
01/1995,20046.41101179205
02/1995,20383.47334972085
03/1995,20181.38489984217
04/1995,20628.52225938965
05/1995,21219.77598439336
06/1995,21216.211225826835
07/1995,22161.171404727727
08/1995,21644.79163257755
09/1995,22123.49799657103
10/1995,21463.148294410286
11/1995,21603.27852953621
12/1995,22794.983917520545
01/1996,23793.278070842727
02/1996,24228.085003175285
03/1996,24359.072994258782
04/1996,24857.56507328352
05/1996,25457.637099688247
06/1996,25583.65289253178
07/1996,24658.55218108014
08/1996,24634.03760534152
09/1996,25588.404178522684
10/1996,25930.465511734827
11/1996,26997.453629086976
12/1996,28051.530792395704
01/1997,29250.83438162415
02/1997,30673.85579790232
03/1997,32278.33878628828
04/1997,31880.79066293692
05/1997,32729.10387046041
06/1997,35266.54719333041
07/1997,38210.82286767387
08/1997,36277.352349214285
09/1997,38851.91478495971
10/1997,35772.98451472735
11/1997,35724.48543989858
12/1997,38021.83831334494
01/1998,40537.9563014969
02/1998,43724.57819084128
03/1998,47956.62852595235
04/1998,49236.80840382939
05/1998,50874.64138746823
06/1998,51934.57088616452
