Date,iShares Core MSCI World UCITS ETF USD (Acc)
12/1978,10000.0
01/1979,10397.264238583844
02/1979,10245.473527212827
03/1979,10670.002780350263
04/1979,10771.45121679093
05/1979,10700.0788908556
06/1979,10879.111616042674
07/1979,10566.34998377222
08/1979,11021.993395011325
09/1979,11145.84393342313
10/1979,10358.937868069665
11/1979,10632.312756970634
12/1979,10669.643415469876
01/1980,11198.5540415861
02/1980,11305.7852995808
03/1980,10622.46303284762
04/1980,11451.216156474144
05/1980,11492.259555321893
06/1980,11864.150320975676
07/1980,12074.50411952528
08/1980,12552.151737813334
09/1980,12895.815691173122
10/1980,13602.68938971133
11/1980,14665.38390294046
12/1980,14794.41075250948
01/1981,14403.8661220666
02/1981,15426.470468612128
03/1981,15982.10210748322
04/1981,16411.088696294697
05/1981,17069.884642190318
06/1981,17689.064022749382
07/1981,17916.076166342526
08/1981,18035.666742988844
09/1981,15918.582366349736
10/1981,15916.63516052152
11/1981,16912.26621913063
12/1981,16776.845307912372
01/1982,16778.717790782546
02/1982,16283.659128333067
03/1982,16124.006578273467
04/1982,17172.32245775205
05/1982,16163.558499354744
06/1982,16324.85839611829
07/1982,16456.06640933328
08/1982,17753.215647761353
09/1982,17997.730692677946
10/1982,19456.999089154942
11/1982,20825.11966800461
12/1982,20858.63759259217
01/1983,21147.851912878272
02/1983,21982.319292339464
03/1983,22864.414589660548
04/1983,24843.414868747604
05/1983,24746.88240637034
06/1983,26299.40568839479
07/1983,26173.83652005436
08/1983,27160.752986551302
09/1983,27721.179008508567
10/1983,26936.9438353937
11/1983,28364.2015991688
12/1983,29447.533162765263
01/1984,30350.13559238273
02/1984,28925.921873209205
03/1984,29200.397984552943
04/1984,29600.83168406804
05/1984,28390.277176862644
06/1984,28622.560244793603
07/1984,28650.27305569554
08/1984,31872.40279537828
09/1984,33243.26127189348
10/1984,34200.03547509701
11/1984,33171.30474328536
12/1984,35191.72316194176
01/1985,38029.00109781414
02/1985,39511.58021392846
03/1985,40963.26197698709
04/1985,38012.66169943743
05/1985,40233.05829559054
06/1985,40224.68496067132
07/1985,39039.96439121696
08/1985,37997.046217346266
09/1985,38889.02060268137
10/1985,38451.871661572586
11/1985,39804.16230459655
12/1985,40672.80487949236
01/1986,40410.56510016991
02/1986,42306.883107545495
03/1986,45148.82707717282
04/1986,46620.82567723978
05/1986,45663.11256920293
06/1986,47673.384659709176
07/1986,46634.55307022164
08/1986,49175.09866742748
09/1986,46838.01553397071
10/1986,45509.17993405879
11/1986,47907.64486901641
12/1986,48154.48598822745
01/1987,50569.59470217815
02/1987,51301.60722358118
03/1987,54375.7104138709
04/1987,56800.00534683079
05/1987,56175.99801516008
06/1987,57135.25374736035
07/1987,59104.27686006582
08/1987,63068.370942323854
09/1987,60338.6535116926
10/1987,49713.56310344491
11/1987,45557.405244665344
12/1987,46071.37247825062
01/1988,47675.630536325225
02/1988,51883.851607048295
03/1988,52708.55674463592
04/1988,53036.55462823834
05/1988,52469.77560781517
06/1988,54324.64484243664
07/1988,58114.81813056139
08/1988,56131.7668091114
09/1988,58066.45464980817
10/1988,60377.667609041615
11/1988,59982.8138204364
12/1988,60565.90302063609
01/1989,65221.04460902444
02/1989,65589.75849676365
03/1989,65578.43333152706
04/1989,67437.6381022009
05/1989,68582.10495798169
06/1989,69002.51472239288
07/1989,73423.1087280308
08/1989,72725.83980577605
09/1989,75896.52322869253
10/1989,70574.06749015235
11/1989,72311.97671154921
12/1989,71536.64969390957
01/1990,66169.88103020181
02/1990,62466.8922483064
03/1990,59695.3128155918
04/1990,58054.60722826191
05/1990,63093.97275889993
06/1990,63039.84124640932
07/1990,61665.89468762723
08/1990,53406.98637516334
09/1990,47828.09208196143
10/1990,50734.95993664292
11/1990,48889.06873072536
12/1990,50477.16294419005
01/1991,52427.04836624074
02/1991,56301.48698513768
03/1991,59447.18402845328
04/1991,63076.474908943776
05/1991,65338.659234792525
06/1991,63560.40627498239
07/1991,66617.84094191498
08/1991,64913.90748901576
09/1991,64747.90290304885
10/1991,65680.52873590955
11/1991,60438.76928648338
12/1991,62750.651111876665
01/1992,61993.81441082432
02/1992,62240.010461060345
03/1992,60863.58849984041
04/1992,61125.64829598069
05/1992,62312.92748725297
06/1992,58472.84361699263
07/1992,55805.5065158559
08/1992,55693.973729894446
09/1992,56430.665800750096
10/1992,57157.66955977885
11/1992,61963.10384107495
12/1992,62393.68117294086
01/1993,63795.52604446451
02/1993,66903.72178858664
03/1993,71100.13316967171
04/1993,71833.27347529113
05/1993,73638.90594801534
06/1993,75120.33761826433
07/1993,79886.78041865957
08/1993,84153.88381959009
09/1993,79281.7623760231
10/1993,82390.33919193156
11/1993,79783.66761587482
12/1993,83617.79034824712
01/1994,90307.74294206916
02/1994,88761.2737320702
03/1994,83144.35156863868
04/1994,85929.70064918356
05/1994,84265.81653777523
06/1994,82634.29005235946
07/1994,81577.97523359089
08/1994,84099.05121317682
09/1994,80979.43829512039
10/1994,81659.52492410633
11/1994,79247.52009546547
12/1994,81619.21153924988
01/1995,78718.2067276336
02/1995,78959.57007776188
03/1995,79517.74682984756
04/1995,80683.30015031277
05/1995,82598.76787675501
06/1995,81852.24689640042
07/1995,84917.07146918621
08/1995,85506.04548165205
09/1995,89092.4906958511
10/1995,86291.92365134679
11/1995,89447.83827310216
12/1995,93486.92211748209
01/1996,96298.5145210221
02/1996,97405.7506842657
03/1996,98927.0476157892
04/1996,102079.61271683506
05/1996,103369.4989331926
06/1996,103048.72033856736
07/1996,97858.86547413208
08/1996,98049.84163605043
09/1996,102735.08918852572
10/1996,103736.55921110327
11/1996,108106.28986343904
12/1996,108690.57386401451
01/1997,112953.33125808187
02/1997,119189.36506698647
03/1997,118145.52212833714
04/1997,122628.83571454484
05/1997,129756.52860111896
06/1997,137714.54431945467
07/1997,148019.30315251902
08/1997,142008.45559120065
09/1997,145749.54855466736
10/1997,135524.9249172307
11/1997,135039.54356843056
12/1997,140327.48934286652
01/1998,147508.56881301478
02/1998,157091.28692492502
03/1998,164277.7353159288
04/1998,164707.81476414073
05/1998,160114.77428023107
06/1998,165053.91023119184
07/1998,165126.89745682882
08/1998,142471.00648577837
09/1998,138179.5077536203
10/1998,145059.05250819682
11/1998,158085.06817728467
12/1998,164700.27607997815
01/1999,173754.36222371468
02/1999,174696.1104772544
03/1999,186589.9332092895
04/1999,196541.6991670084
05/1999,191853.7903554215
06/1999,203231.55691451408
07/1999,195626.845003214
08/1999,197454.41720671373
09/1999,193793.4876849516
10/1999,207942.1161728897
11/1999,221267.3448208077
12/1999,240326.76546508985
01/2000,232396.4259346688
02/2000,234803.46915622352
03/2000,255194.74620327013
04/2000,256921.3506124988
05/2000,244476.0788537699
06/2000,245947.2704549205
07/2000,247046.34077179257
08/2000,264661.68487331393
09/2000,254544.3841144324
10/2000,260552.36772084053
11/2000,237133.7161951985
12/2000,224818.7651621028
01/2001,229406.440822474
02/2001,210977.04375259395
03/2001,206331.7868731556
04/2001,220408.7576826024
05/2001,227658.46134724605
06/2001,220455.6671885886
07/2001,210640.1488486853
08/2001,191640.4685785948
09/2001,175213.05644291895
10/2001,180287.1044485141
11/2001,193985.3000507357
12/2001,197035.3254471342
01/2002,194906.175754965
02/2002,192846.8047936053
03/2002,199624.7918353432
04/2002,186726.5669547938
05/2002,179455.13007450962
06/2002,158571.2069798433
07/2002,148014.40409249326
08/2002,147488.56854458398
09/2002,130866.04078239892
10/2002,140429.99257600468
11/2002,147017.52927201186
12/2002,132380.79035710142
01/2003,124420.50463846554
02/2003,122607.70602898496
03/2003,120915.10697975912
04/2003,128819.42023924863
05/2003,128173.9242371961
06/2003,134861.44766541346
07/2003,138886.85470495114
08/2003,146923.84410014976
09/2003,138586.8206594789
10/2003,147152.8281149319
11/2003,144719.4224151069
12/2003,146019.30299865373
01/2004,151285.09430447654
02/2004,153372.04118518837
03/2004,154746.68841328303
04/2004,155065.88818921987
05/2004,153232.96554749116
06/2004,156906.32864210915
07/2004,153219.6870859644
08/2004,152952.68867801962
09/2004,152078.06661997482
10/2004,151762.02587233932
11/2004,153004.82651756002
12/2004,155018.24631564785
01/2005,158314.35268513387
02/2005,160567.95910861786
03/2005,160982.9020301273
04/2005,157533.44894800673
05/2005,168445.64774551246
06/2005,173233.2552171445
07/2005,179240.8795313652
08/2005,179007.09180184742
09/2005,186005.9354657182
10/2005,181749.0397491448
